issue,word,pages,count
66,crafting,8,1
66,craftsmanship,8,1
66,craftsmen,7,1
66,crest,9,1
66,cupboard,7,1
66,curiosity,5,1
66,curious,5,1
66,cutter,"3,6,7",3
66,cutters,"3,7,9",5
66,cutting,"3,4,6,7,8,9",13
66,daily,3,1
66,dalgety,7,1
66,darton,4,1
66,dated,10,2
66,david,"1,3,4,5,10",10
66,deardorff,10,1
66,decided,6,1
66,definitely,8,1
66,delhi,4,1
66,delightful,4,1
66,delivered,6,1
66,demonstrating,9,1
66,demonstration,3,1
66,dentistry,3,1
66,depicted,3,1
66,designated,9,1
66,desirable,3,1
66,despite,6,1
66,destination,3,1
66,details,"4,8,9",3
66,devon,7,1
66,diagrams,7,1
66,difficulty,5,1
66,dimensional,8,1
66,directions,1,1
66,disappointed,8,1
66,disappointment,8,1
66,discover,8,1
66,discovered,9,1
66,discovering,8,1
66,discussed,8,1
66,disgorged,6,1
66,disheartened,8,1
66,display,"3,4,9",5
66,displayed,8,1
66,dissected,3,1
66,dissection,4,2
66,dissections,"3,4",2
66,dissectologists,1,1
66,doing,6,1
66,dollycot,3,1
66,dozen,10,1
66,dragonsland,"2,3",3
66,durbar,4,1
66,dutton,3,1
66,eager,3,1
66,eared,8,1
66,earliest,9,1
66,easier,3,1
66,easily,9,1
66,economical,8,1
66,edges,5,2
66,edited,10,1
66,edition,"1,4,6,8",6
66,editor,"1,4,6,8",4
66,educated,4,1
66,education,8,1
66,educational,3,1
66,edward,"3,4,10",4
66,edwardian,3,1
66,efforts,4,1
66,eileen,10,3
66,elephant,5,2
66,elusive,"4,8",2
66,email,1,1
66,emerged,"3,8",2
66,employed,7,1
66,empty,8,1
66,enable,5,1
66,enjoyable,"1,4",2
66,enjoyed,"4,6",2
66,enjoyment,5,1
66,enquiries,7,1
66,ensued,8,1
66,entertained,3,1
66,enthralled,3,1
66,enthusiasts,"3,4,9",3
66,entitled,3,1
66,entrances,1,1
66,entry,7,3
66,envelopes,6,1
66,equipment,8,1
66,errata,4,1
66,errors,4,1
66,esoteric,9,1
66,especially,"3,7",2
66,essence,7,1
66,eventually,6,1
66,everyone,5,1
66,examples,"3,6,9",3
66,excellent,6,1
66,exclusive,8,1
66,existing,6,1
66,expensive,9,1
66,experienced,3,1
66,experiences,4,1
66,expert,7,1
66,extend,5,1
66,facade,9,1
66,falls,"7,10",2
66,familymelling,1,1
66,famous,"7,9",2
66,fascinating,"6,9",2
66,fashion,7,1
66,feast,1,1
66,february,10,1
66,feeling,5,1
66,fellow,6,1
66,fetch,"7,9",2
66,fields,7,1
66,fiendish,7,1
66,fiendishly,"3,5",2
66,filled,"4,9",3
66,films,5,1
66,finding,8,1
66,finished,10,1
66,fireplaces,9,1
66,followed,9,1
66,following,"5,7",3
66,follows,1,1
66,fondness,10,1
66,foods,3,1
66,formed,8,1
66,forms,5,1
66,forty,"7,8,9",3
66,fosse,1,1
66,found,"5,7,9",3
66,founder,7,1
66,fragile,8,1
66,frame,6,1
66,freeserve,1,1
66,fretwork,6,1
66,friendly,4,1
66,friends,7,1
66,frustrated,5,1
66,funds,1,1
66,fuselage,8,1
66,galleries,8,2
66,gamer,6,1
66,games,9,1
66,garlick,10,1
66,gateway,6,2
66,gathered,6,1
66,gathering,3,1
66,gatherings,"4,10",2
66,gauge,5,1
66,generation,3,1
66,george,4,1
66,gerald,7,4
66,gerrish,10,1
66,gibsons,6,1
66,gloucestershire,4,1
66,gobbledeygook,6,1
66,goodies,4,1
66,gotch,10,1
66,gothic,9,1
66,graham,4,1
66,grained,8,1
66,gramercy,9,1
66,grammar,7,1
66,grandmother,9,1
66,grateful,7,1
66,greenfield,4,1
66,habit,7,1
66,hallsgrove,6,1
66,hampshire,1,1
66,hanburys,2,1
66,handed,8,1
66,handiwork,7,1
66,hanham,3,2
66,hannas,8,1
66,happened,10,1
66,harbury,1,3
66,hardboard,5,1
66,hardee,8,1
66,harper,7,1
66,harrod,10,1
66,haven,5,1
66,having,"1,5,7,8",4
66,hayter,7,4
66,helpful,"7,8",3
66,henham,4,1
66,herne,5,1
66,hertfordshire,3,1
66,higher,7,1
66,historic,9,1
66,hobbies,6,2
66,hobby,6,1
66,holding,4,1
66,holds,5,1
66,holloway,7,1
66,honiton,7,1
66,horses,8,1
66,hosted,3,1
66,hours,"5,6",2
66,housed,8,2
66,houses,9,1
66,hovering,8,1
66,howbrigg,10,1
66,hudson,3,2
66,hundreds,9,1
66,hunting,8,1
66,hurricane,8,1
66,ibrary,5,1
66,ideas,1,1
66,illustrate,7,1
66,illustrations,6,1
66,image,7,1
66,impossible,5,1
66,included,"3,4,6",3
66,including,"6,7,8",5
66,index,6,1
66,infants,3,1
66,information,"3,5,6,8,10",5
66,ingenious,7,1
66,ingenuity,8,1
66,initially,6,1
66,initials,9,1
66,inkling,5,1
66,insight,9,1
66,inspection,1,1
66,interchangeable,7,1
66,interested,"3,4,5,9",4
66,interesting,"3,7,8",3
66,interlocked,8,1
66,interlocking,8,1
66,internally,9,1
66,international,1,1
66,intricate,"3,9",3
66,invited,8,1
66,ipswich,4,1
66,island,8,1
66,islands,5,1
66,issues,9,1
66,italian,9,1
66,items,"1,4",3
66,itself,9,1
66,james,7,3
66,jenny,3,2
66,jumbo,5,1
66,junction,1,1
66,keith,"3,4",2
66,keynes,4,1
66,kitty,8,1
66,known,"4,5",2
66,lambeth,3,1
66,landing,5,2
66,landmark,9,1
66,largely,6,1
66,larger,7,1
66,latter,3,1
66,leading,5,1
66,learned,4,1
66,leicester,"1,4",2
66,lengths,1,1
